14, 0
18, 0
18, 0
18, -2
14, 0
18, 2
18, 0
14, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
14, 0
18, 0
18, 2
14, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
14, 0
18, 2
18, 0
14, 0
18, 0
18, 0
14, 0
21, 0
18, 0
21, 0
18, 0
14, 0
18, -2
18, 0
14, 0
18, 0
18, 0
14, -2
18, 0
18, 0
14, 0
18, 0
18, 2
14, 0
18, 0
18, 0
14, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
14, 2
18, 0
18, 0
14, -2
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, -4
11, -4
7, -5
11, -4
11, -4
11, -5
11, -4
11, -4
7, -5
11, -4
11, -4
14, -4
14, 0
18, 0
18, -2
14, 0
18, 0
18, 0
14, 2
18, 0
14, 0
18, -2
4, 0
0, 0
-4, 0
-7, 2
-4, 2
-4, 7
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
7, 4
7, 2
7, 0
14, 0
18, 0
0, 0
-4, 0
-4, 0
-4, 4
-4, 5
7, 2
7, 2
7, 2
14, -2
7, 0
0, 0
-4, 0
-4, 4
-4, 5
7, 2
7, 2
7, 2
14, -2
14, -2
14, -2
14, -4
11, -4
11, -4
7, -5
11, -4
11, -5
11, -4
11, -4
11, -5
11, -4
11, -5
11, -4
11, -4
11, -5
11, -4
7, -5
11, -4
11, -5
11, -4
11, -5
11, -4
11, -4
11, -5
11, -4
11, -5
11, -4
7, -4
0, 0
-7, 0
-4, 2
-4, 5
4, 4
7, 2
7, 0
11, 0
4, 0
-4, 0
-7, 0
-4, 2
-4, 5
7, 2
7, 2
7, 0
7, 2
0, 0
-4, 0
-7, 0
-4, 5
4, 4
7, 4
7, 0
11, 0
14, 0
14, -2
14, -4
11, -4
11, -4
11, -5
11, -4
11, -4
11, -4
11, -4
14, 0
0, 0
-4, 0
-7, 2
-4, 5
7, 4
7, 0
7, 2
7, -2
11, 0
7, 0
11, 0
11, 0
7, 0
11, 0
11, -2
11, 0
11, 0
11, 0
14, 0
11, 0
11, 0
11, 0
14, 0
11, 2
14, 0
14, 0
14, 2
11, 0
14, 0
14, 2
14, 0
18, 0
14, 2
14, 0
18, 0
14, 2
11, 0
11, 0
7, 0
11, 0
7, 0
0, 0
-4, 0
-7, 0
-7, 0
-4, 4
0, 7
0, 9
0, 7
0, 7
7, 4
4, 2
11, 0
11, 0
4, 0
0, 0
-4, 2
0, 4
-4, 9
0, 7
0, 9
4, 7
0, 9
0, 7
0, 9
-4, 7
4, 9
0, 7
0, 9
4, 5
7, 7
11, 4
11, 5
7, 5
11, 5
11, 4
11, 5
7, 5
11, 5
11, 4
11, 5
7, 5
11, 5
11, 4
11, 5
11, 4
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
7, 0
0, 0
0, -7
0, -7
4, -7
7, -4
4, 0
-4, 0
0, -5
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
4, -7
7, -7
11, -4
11, -5
7, -5
11, -5
11, -5
11, -4
11, -5
11, -5
7, -5
11, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -5
11, -4
11, -5
11, -4
14, -2
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
14, 0
4, 0
0, 0
-4, 0
-4, 2
-4, 4
-4, 7
4, 9
7, 4
14, 2
14, 0
0, 0
0, 0
-7, 0
-4, 2
-4, 7
0, 7
0, 7
7, 5
14, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
7, 0
4, -4
4, -7
0, -7
0, -9
0, -11
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
4, -7
7, -5
18, 0
14, -2
18, 0
25, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
4, 0
0, 0
-4, 0
-7, 0
-7, 0
-4, 4
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
4, 5
4, 2
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
11, 0
11, 0
7, -2
11, 0
11, 0
11, 0
11, -2
14, 0
11, 0
11, 0
11, -2
14, 0
14, -2
11, 0
14, 0
14, 0
14, -2
14, 0
14, 0
14, -2
18, 0
14, 0
14, -2
14, 0
18, 0
14, -2
18, 0
18, 0
14, 0
18, 0
18, -2
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
14, 0
18, -2
18, 0
14, 0
18, 0
18, 0
18, -2
14, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
14, 2
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
11, 0
0, 0
-7, 0
-4, 2
-4, 5
7, 4
7, 0
7, 2
7, -2
11, 0
0, 0
0, 0
-7, 0
-7, 2
-4, 5
4, 4
7, 2
7, 0
11, 0
7, 2
7, 0
11, 0
11, 0
11, 0
7, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
0, 0
-4, 0
-7, 0
-4, 4
-4, 5
7, 4
7, 0
7, 2
7, 0
-4, 0
-4, 0
-7, 0
-4, 2
-4, 5
4, 4
7, 2
7, 2
7, 0
4, 0
0, 0
-7, 0
-4, 0
-7, 4
0, 5
4, 4
7, 0
11, 2
14, 0
7, 0
0, 0
-4, 0
-7, 0
-4, 2
-4, 7
7, 2
7, 2
7, 0
7, 2
11, 0
7, 0
4, 0
0, 0
-4, 0
-7, 0
-7, 2
0, 7
4, 2
7, 2
11, 0
7, 0
7, 2
11, 0
7, 0
11, 0
11, 0
11, 0
7, 0
11, -2
11, 0
14, 0
11, 0
11, -2
11, 0
14, 0
11, 0
14, -2
11, 0
14, 0
14, -2
14, 0
14, 0
14, -2
14, 0
14, 0
14, -2
18, 0
14, 0
18, 2
14, 0
14, 0
18, 0
18, 0
14, 2
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 2
18, 0
18, 0
14, 0
18, 0
18, 2
14, 0
18, 0
18, -2
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
14, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
0, 0
-4, 0
-4, -2
-4, -5
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -7
7, -7
7, -4
0, -2
-4, -2
-4, -2
-4, -5
0, -7
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -7
7, -7
7, -5
11, -5
11, -5
7, -5
11, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -4
14, -2
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
14, 0
11, 0
7, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
0, 0
-4, 0
-4, -4
0, -5
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -7
11, -7
7, -4
11, -5
11, -5
11, -5
7, -4
18, -2
18, 0
14, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
14, 0
18, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
4, 0
0, 0
-7, 0
-4, -2
-4, -4
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
4, -7
7, -7
11, -5
14, -2
18, -2
18, 0
18, 0
18, 0
18, -2
18, 0
14, 0
18, 0
18, 0
18, 0
14, -2
11, 0
11, 2
7, -2
11, 0
11, 2
7, -2
11, 2
7, 0
11, 0
7, -2
11, 2
7, 0
7, 0
11, -2
7, 2
11, 0
7, 0
11, 0
7, 0
11, -2
7, 2
11, 0
4, 0
-4, 0
-4, 0
-4, -2
-4, -5
-4, -7
0, -7
0, -9
0, -7
4, -9
0, -7
0, -9
11, -4
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
21, 0
14, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
21, 0
18, 0
18, 0
18, 0
18, 0
14, 0
4, 0
0, 0
-7, 0
-4, -2
-4, -4
0, -9
0, -7
0, -9
0, -7
0, -7
0, -9
0, -7
4, -7
7, -7
11, -5
11, -4
7, -5
11, -5
11, -5
11, -4
7, -5
11, -5
11, -5
11, -4
18, -2
14, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
14, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
0, 0
-4, -5
0, -5
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
7, -7
11, -2
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
14, 0
11, 0
14, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
7, 0
-4, 2
-4, 0
-4, 2
-4, 5
0, 7
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
4, 7
7, 4
7, 5
7, 4
7, 4
7, 2
7, 4
7, 4
7, 4
7, 5
7, 2
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
11, 2
11, 2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 2
14, 0
11, 0
11, 0
7, 0
11, -2
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
0, 0
-4, 2
-7, 0
-4, 2
-4, 7
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
7, 5
7, 5
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 4
7, 2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
7, 0
0, 0
-7, 0
-4, -4
0, -5
0, -9
0, -11
0, -7
0, -7
0, -9
0, -7
4, -9
7, -5
7, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -5
11, -4
7, -5
11, -5
11, -5
11, -5
11, -2
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
14, 0
21, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
14, 0
11, 0
0, -2
4, -4
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
4, -7
4, -5
14, -4
14, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
14, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
21, 0
14, 0
18, 0
18, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
-4, 0
-4, 0
-4, -4
0, -7
0, -9
0, -7
0, -9
0, -7
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
7, -5
14, -2
14, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
14, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
0, 2
-4, -2
0, -5
0, -7
7, -5
14, -2
11, 0
0, 0
0, 0
-7, 2
-4, 5
0, 7
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
4, 5
7, 4
0, 0
0, 0
-7, 2
0, 4
-4, 9
0, 7
0, 9
4, 5
7, 2
7, 0
11, 0
4, 0
0, 0
-4, 0
-4, 4
0, 5
7, 2
7, 2
11, 0
0, 0
0, 0
-7, 0
-4, 2
-4, 5
4, 4
7, 2
7, 2
7, 0
11, 0
7, 0
11, 0
11, 0
7, -2
11, 0
0, 0
-4, 0
-7, 0
-4, 4
-4, 5
7, 2
7, 2
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
11, -2
11, 0
7, 2
11, -2
14, 0
11, 0
14, 0
18, 0
18, 0
18, 0
14, 0
18, 0
11, -2
7, -2
7, -4
7, -2
7, -4
7, -2
7, -4
0, -2
-4, 0
-4, 0
-4, 2
-4, 5
4, 4
7, 2
7, 0
7, 0
-4, 0
-4, 0
-4, 2
-4, 4
0, 4
7, 4
7, 0
7, 0
0, 0
0, 0
-7, 0
-7, 0
-4, 5
4, 4
4, 2
11, 2
7, 0
4, 0
-4, 0
-4, 0
-7, 2
-4, 4
4, 4
7, 2
7, 2
11, 0
0, 0
0, 0
-7, 0
-7, 0
-4, 4
0, 7
7, 2
7, 2
7, 0
7, -2
11, 0
0, 0
0, 0
-7, 2
-7, 0
-4, 4
0, 5
7, 2
7, 2
7, 0
7, 0
11, 2
7, 0
11, 0
11, 0
7, 0
11, 2
11, 0
11, 0
11, 0
11, 0
14, 0
11, 0
11, 0
11, -2
14, 0
11, -2
14, 0
14, 0
14, 0
14, -2
11, 0
18, 0
14, 0
14, 0
14, 0
18, 2
14, 0
14, 0
18, 2
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, -2
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
11, 0
7, 0
7, 0
11, 0
7, 0
11, 0
11, 0
7, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
0, 0
-4, 0
-4, 0
-4, 4
-4, 7
0, 7
0, 9
0, 7
7, 4
4, 2
11, 0
7, 0
4, 0
-4, 0
-4, 0
-7, 2
-4, 4
4, 4
4, 4
7, 0
11, 0
4, 0
-4, 0
-4, 0
-7, 0
-4, 2
-4, 5
4, 4
7, 2
7, 0
11, 0
7, 0
4, 0
0, 0
-7, 0
-4, 0
-4, 4
-4, 5
7, 4
7, 0
7, 2
11, -2
4, 0
0, 0
-4, 0
-7, 0
-7, 2
-4, 4
4, 4
4, 4
7, 0
11, 0
7, 0
7, 0
11, 0
11, -2
7, 0
11, 0
11, 0
11, -2
11, 0
11, 0
11, 0
14, 0
14, 0
11, 0
14, 0
14, 0
14, 2
14, 0
14, 0
11, 0
14, 2
14, 0
14, 0
18, 2
14, 0
14, 0
18, 2
14, 0
18, 0
18, 0
14, 0
21, 0
18, 0
18, 0
18, 0
18, 2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
11, 2
11, 0
7, 0
11, -2
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
4, 2
0, 0
-7, 0
-4, 2
-4, 5
0, 7
0, 7
0, 9
4, 5
11, 2
11, 2
7, 0
0, 0
-4, 0
-4, 0
-4, 4
-4, 7
0, 9
0, 7
0, 7
0, 9
0, 7
0, 9
4, 7
7, 7
7, 5
11, 4
11, 5
11, 5
7, 5
11, 4
11, 5
11, 5
7, 5
11, 4
11, 5
11, 5
7, 4
11, 5
11, 5
7, 5
11, 4
11, 5
11, 5
7, 4
14, 4
14, 0
18, 0
18, 0
18, 0
18, 0
18, 2
14, 0
18, 0
18, 0
18, 0
18, 0
11, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
4, 0
0, 0
-4, 0
-7, 0
-4, -4
-4, -5
0, -9
4, -7
7, -4
18, -2
14, 0
14, 0
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
0, 0
0, 0
-7, 0
-4, -4
0, -5
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
7, -7
7, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -5
11, -2
18, -2
18, 0
18, 0
14, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
21, 0
14, 0
14, 0
11, 0
7, 0
7, 0
11, 0
11, 0
7, 0
7, 0
11, 0
7, 0
11, 0
11, 0
7, 0
7, 0
11, 0
11, 0
7, 0
4, 0
0, 0
-4, 5
0, 5
0, 9
0, 7
0, 9
0, 7
0, 9
0, 7
4, 7
4, 7
11, 5
11, 4
7, 5
11, 5
11, 5
7, 4
11, 5
11, 5
11, 4
7, 5
11, 5
11, 4
7, 5
14, 2
18, 0
18, 0
18, 0
18, 2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
21, 2
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
14, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
0, 0
-4, 0
-4, -2
-4, -5
0, -7
0, -7
0, -9
0, -7
4, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
4, -7
11, -5
7, -5
11, -5
11, -5
11, -4
7, -5
11, -5
11, -5
11, -4
11, -5
7, -5
11, -5
11, -5
11, -4
7, -5
11, -5
14, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
14, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
14, 0
14, 0
11, 0
11, 0
7, 0
7, 0
0, 2
0, 4
0, 9
0, 7
0, 7
0, 9
0, 7
0, 9
0, 7
4, 7
7, 7
7, 5
11, 4
11, 5
7, 5
11, 4
11, 5
11, 4
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 2
18, 0
18, 0
14, 0
18, 0
11, 0
7, 0
0, 0
-4, 0
-4, -2
0, -7
-4, -7
4, -7
0, -9
0, -7
0, -9
0, -7
0, -9
0, -7
0, -7
0, -9
0, -7
0, -9
0, -7
0, -9
4, -7
7, -5
7, -5
11, -5
11, -5
11, -5
11, -5
7, -4
11, -5
11, -5
11, -5
11, -4
11, -4
18, -2
14, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
21, 0
14, -2
14, 2
0, 0
0, -5
0, -5
4, -9
0, -7
0, -9
0, -7
0, -9
0, -7
4, -7
4, -7
11, -5
11, -4
11, -5
7, -5
11, -5
11, -4
18, -2
14, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
14, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, -2
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
11, -2
11, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
4, 0
-4, 2
-7, 0
0, 5
0, 5
7, 2
7, 0
7, 0
0, 0
-4, 0
-4, 4
0, 5
7, 2
7, 2
7, 0
4, 0
-4, 0
-4, 0
-7, 4
0, 5
7, 2
7, 2
7, 0
11, 0
4, 0
0, 0
-4, 0
-7, 0
-4, 2
-4, 5
4, 4
7, 2
7, 0
7, 2
7, 0
11, 0
11, 0
7, 0
11, 0
11, 2
11, 0
7, 0
11, 0
14, -2
11, 0
11, 2
11, 0
14, -2
14, 0
18, 0
14, 0
18, 0
18, 0
18, 2
11, -2
7, -2
7, -4
7, -4
7, -2
7, -4
7, -2
7, -4
4, -2
-4, 0
-4, 0
-7, 2
-4, 4
4, 5
4, 2
11, 2
7, 0
0, 0
-4, 0
-4, 0
-7, 0
-4, 5
4, 5
7, 2
7, 0
7, 2
4, 0
-4, 0
-4, 0
-7, 0
-4, 4
0, 5
7, 4
7, 2
7, 0
7, -2
-4, 2
-4, 0
-4, 0
-7, 0
-4, 5
4, 5
4, 2
7, 0
11, 0
14, 0
4, 0
-4, 0
-4, 0
-7, 2
-4, 5
4, 4
7, 2
7, 0
7, 0
11, 0
7, 0
0, 0
-4, 0
-7, 0
-4, 2
-4, 5
7, 4
7, 0
7, 2
7, 0
7, 0
11, 0
11, 0
7, 2
11, 0
11, 0
11, 0
7, 0
14, 0
11, -2
11, 0
11, 0
14, 0
11, -2
11, 0
14, -2
14, 0
14, 0
11, 0
14, -2
14, 0
14, 0
18, -2
14, 0
14, 2
14, 0
18, 0
14, 2
18, 0
14, 0
18, 2
18, 0
18, -2
14, 0
18, 0
14, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, -2
18, 0
11, 2
11, 0
11, -2
7, 0
11, 0
7, 0
11, 2
7, -2
11, 0
7, 0
0, 2
-4, 0
-4, 2
-4, 7
7, 2
7, 2
7, 0
11, 2
7, 0
7, 0
11, 0
4, 0
-4, -2
-4, 0
-7, 2
-4, 4
0, 5
7, 2
7, 2
7, 0
7, 0
-4, 0
-4, 0
-4, 2
-4, 4
0, 4
7, 4
7, 0
7, 0
0, 0
-4, 0
-7, 0
-4, 2
-4, 5
7, 4
4, 2
11, 0
4, 0
0, 0
-4, 0
-7, 0
-4, 4
-4, 5
7, 2
7, 2
11, 0
11, 0
0, 0
0, 0
-7, 0
-4, 0
-7, 5
4, 4
4, 2
11, 2
11, 0
14, 0
4, 0
0, 0
-4, 0
-4, 4
0, 5
4, 4
7, 0
11, 0
7, 0
7, 0
11, 0
7, 0
11, 0
11, -2
11, 0
7, 0
11, 0
11, -2
14, 0
11, 0
14, 0
14, 0
14, 0
11, 0
18, 0
11, 0
14, 0
14, 2
14, 0
14, 0
14, 2
14, 0
14, 0
18, 2
14, 0
14, 0
18, 2
14, 0
18, 0
18, 0
18, 0
18, 0
14, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
14, 0
21, 2
18, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
7, 0
11, 0
0, 0
0, 0
-7, 2
-4, 5
4, 4
7, 2
7, 0
7, 0
4, 0
-4, 0
-7, 0
-4, 2
-4, 5
7, 4
7, 2
7, 0
4, 0
0, 0
-4, 0
-7, 0
-4, 4
0, 7
7, 2
7, 2
7, 0
4, 0
-4, 0
-4, 0
-4, 0
-4, 4
-4, 7
7, 2
7, 2
7, 0
7, 0
0, 0
-7, 0
-4, 0
-7, 2
0, 7
4, 4
7, 0
11, 2
11, 0
4, 0
-4, 0
-4, 0
-7, 0
-4, 5
4, 5
4, 2
11, 0
7, 2
7, 0
11, 0
7, 0
0, -2
-4, 2
-4, 0
-7, 4
0, 5
7, 2
7, 2
7, 0
11, 2
7, 0
11, 0
7, 0
11, 0
11, 0
11, 0
7, 0
11, -2
14, 0
11, 0
11, 0
11, -2
14, 0
11, 0
11, -2
14, 0
14, 0
14, -2
11, 0
14, 0
14, -2
18, 0
14, 2
14, 0
14, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
14, 0
18, 0
18, 0
